id,title,author,year,publisher
0312953615,The Sculptress (Sculptress),Minette Walters,1990,St Martin's Press
0380804557,Stardust,Neil Gaiman,2000,Avon
0446609781,Beneath the Skin,Nicci French,2000,Warner Books
0440201330,Five Bells and Bladebone,Martha Grimes,1990,Dell Publishing Company
0140293442,Fever Pitch,Nick Hornby,2000,Penguin Books Ltd
0684718634,Cry the Beloved Country,Alan Paton,1990,Simon Schuster Trade
0312199430,One Thousand White Women : The Journals of May Dodd: A Novel,Jim Fergus,1990,St Martin's Griffin
0156007754,Blindness (Harvest Book),Jose Saramago,1990,Harvest Books
0380977788,Coraline,Neil Gaiman,2000,HarperCollins
0345391055,Disclosure,Michael Crichton,1990,Ballantine Books
0380701340,Creed for the Third Millennium,Colleen McCullough,1980,Avon
0316601950,The Pilot's Wife : A Novel,Anita Shreve,1990,Back Bay Books
0061006629,Fatherland,Robert Harris,1990,HarperTorch
0553286390,"Dragon Wing (The Death Gate Cycle, Book 1)",Margaret Weis,1990,Bantam
0553572423,The Fist of God,Frederick Forsyth,1990,Bantam Books
0671722948,TWELFTH NIGHT,William Shakespeare,1990,Washington Square Press
0451404300,The Dividing Line (Joshua Rabb Novels),Richard Parrish,1990,Onyx Books
0440202043,Shell Seekers,Rosamunde Pilcher,1990,Dell
0061043508,Strong Poison,Dorothy L. Sayers,1990,HarperTorch
0805036377,M Is for Malice (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1990,Henry Holt &amp Company
3596154766,Silberfaden.,Ricarda Junge,2000,Fischer (Tb) Frankfurt
0446600342,Where There's Smoke,Sandra Brown,1990,Warner Books
0060929871,Brave New World,Aldous Huxley,1990,Perennial
0393312836,A Clockwork Orange (Norton Paperback Fiction),Anthony Burgess,1980,W W Norton &amp Company
034540498X,Final Judgment,Richard N. Patterson,1990,Ballantine Books
0449003795,P Is for Peril,Sue Grafton,2000,Ballantine Books
0440204194,Firefly Summer,Maeve Binchy,1980,Dell
0864426224,"Lonely Planet Paris (Paris, 2nd Ed)",Daniel Robinson,1990,Lonely Planet
0425154092,From Potter's Field,Patricia Daniels Cornwell,1990,Berkley Publishing Group
0553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1980,Bantam
1888054557,Postmarked Yesteryear: 30 Rare Holiday Postcards,Pamela E. Apkarian-Russell,2000,Collectors Press
0425121631,Rules of Prey,John Sandford,1990,Berkley Publishing Group
0553579983,And Then You Die,Iris Johansen,1990,Bantam
0804114986,The Bonesetter's Daughter,Amy Tan,2000,Ballantine Books
0446600709,Assumed Identity,David Morrell,1990,Warner Books
0399150854,Blacklist: A V.I. Warshawski Novel,Sara Paretsky,2000,Putnam Publishing Group
0671517643,LITTLE WOMEN,Louisa May Alcott,1990,Pocket
0140445145,Twilight of the Idols and the Anti Christ (Penguin Classics),R.J. Hollingdale,1990,Penguin Books
0679720200,The Stranger,ALBERT CAMUS,1980,Vintage
0553284789,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Bantam
0446605409,Plum Island,Nelson DeMille,1990,Warner Books
0452280621,Beloved,Toni Morrison,1990,Plume Books
0330375253,Bridget Jones's Diary,Helen Fielding,2000,Picador
0061031410,Courting Trouble,Lisa Scottoline,2000,HarperTorch
0449214176,Bluebeard's Egg and Other Stories,Margaret Atwood,1980,Fawcett Books
0312924801,September,Rosamunde Pilcher,1990,St Martin's Press
0679433023,Violin,Anne Rice,1990,Alfred A Knopf
0446353205,The Charm School,Nelson DeMille,1980,Warner Books
0671027662,Coast Road: A Novel,Barbara Delinsky,1990,Pocket Books
0671742515,Long Dark Tea Time of the Soul,Douglas Adams,1990,Pocket
0380012057,"Gabriela, Clove and Cinnamon",Jorge Amado,1980,Avon
0449221512,I Is for Innocent,Sue Grafton,1990,Fawcett Books
0449223612,N Is for Noose,Sue Grafton,1990,Fawcett Books
0393314804,Trainspotting,Irvine Welsh,1990,W W Norton &amp Company
044021873X,Windy City Blues (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1990,Dell
0141182458,Dubliners (Penguin Modern Classics),James Joyce,2000,Penguin Books Ltd
042514545X,Fool's Puzzle,Earlene Fowler,1990,Berkley Publishing Group
0671011375,Death du Jour,Kathy Reichs,2000,Pocket
0345334019,Escape the Night,Richard North Patterson,1990,Ballantine Books
0451180054,Trial by Fire,Nancy Taylor Rosenberg,1990,Signet Book
0450547434,Creed,James Herbert,1990,Hodder &amp Stoughton General Division
0440209986,Not Exactly a Brahmin,Susan Dunlap,1990,Dell
0440224705,Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000,Dell
0312955731,White Shark,Peter Benchley,1990,St Martin's Press
051511264X,Prime Witness,Steven Paul Martini,1990,Jove Books
0440214009,Treasures,Belva Plain,1990,Dell
8501012076,Cem Anos De Solidao,Gabr Garcia Marquez,0,Distribooks Int'l+inc
0140285679,About a Boy,Nick Hornby,2000,Penguin Books Ltd
0553569031,Gone But Not Forgotten,PHILLIP M. MARGOLIN,1990,Bantam
0446364622,The Children of Men,P.D. James,1990,Warner Books
0747541604,The Gashlycrumb Tinies,Edward Gorey,1990,Bloomsbury Publishing Plc
0805210555,The Complete Stories,Franz Kafka,1990,Schocken Books
0425157784,Mourn Not Your Dead,Deborah Crombie,1990,Berkley Publishing Group
0141000198,Bridget Jones's Diary,Helen Fielding,2000,Penguin Putnam
0515125628,The Target,Catherine Coulter,1990,Jove Books
0425172546,Southern Cross,Patricia Daniels Cornwell,1990,Berkley Publishing Group
0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1980,Bantam
0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1980,Bantam
078688939X,Dirty Jokes and Beer : Stories of the Unrefined,Drew Carey,1990,Hyperion
0441569595,Neuromancer (Remembering Tomorrow),William Gibson,1990,Ace Books
1400042070,The Amateur Marriage: A Novel,ANNE TYLER,2000,Knopf
0451519841,1984,George Orwell,1980,New Amer Library
0449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Fawcett Books
0743227441,The Other Boleyn Girl,Philippa Gregory,2000,Touchstone
0553275976,The Bonfire of the Vanities,Tom Wolfe,1980,Bantam Books
0440225817,Acts of Malice,Perri O'Shaughnessy,2000,Island
0812589718,Daughter of God,Lewis Perdue,2000,Forge Books
0440111498,Cat's Cradle,Kurt Vonnegut,1990,Dell Publishing Company
0679755330,A Raisin in the Sun,LORRAINE HANSBERRY,1990,Vintage
0671704834,INTO THE BLUE : INTO THE BLUE,Robert Goddard,1990,Pocket
0425166392,Guilty Pleasures,Lawrence Sanders,1990,Berkley Publishing Group
0812550757,Speaker for the Dead (Ender Wiggins Saga (Paperback)),Orson Scott Card,1990,Tor Books
0446530077,Find Me,Rosie O'Donnell,2000,Warner Books
0156006847,The Fencing Master: A Novel,Arturo PÃ©rez-Reverte,2000,Harvest Books
0451204530,Code to Zero,Ken Follett,2000,Signet Book
0380790025,Death in Lovers' Lane (Henrie O Mysteries (Paperback)),Carolyn Hart,1990,Avon
0425179885,The Devil's Code,John Sandford,2000,Berkley Publishing Group
042518109X,Whispers,Dean R. Koontz,2000,Berkley Publishing Group
0312958129,Coming Home,Rosamunde Pilcher,1990,St Martin's Press
0446603929,See How They Run,James Patterson,1990,Warner Books
0140442014,The Social Contract (Penguin Classics),Jean-Jacques Rousseau,1960,Penguin Books
0385509472,Diary: A Novel,Chuck Palahniuk,2000,Doubleday
0595256368,Rhaeva,Linda Moore,2000,Writer's Showcase Press
0425174018,Hush Money (Spenser Mysteries),Robert B. Parker,2000,Berkley Publishing Group
0451169522,Misery,Stephen King,2000,Penguin USA (Paper)
0380730774,Read This and Tell Me What It Says : Stories (Bard Book),A. Manette Ansay,1990,William Morrow
0446359750,Devices and Desires,Phyllis White,1990,Warner Books
0786861347,Don't Stand Too Close to a Naked Man,Tim Allen,1990,Hyperion Books
1590889754,Shadows of the Eclipse,Bonnie Napoli,2000,Wings ePress Inc
0452283248,Leading the Revolution: How to Thrive in Turbulent Times by Making Innovation a Way of Life,Gary Hamel,2000,Plume Books
0945320531,Understanding Variation: The Key to Managing Chaos (2nd Edition),Donald J. Wheeler,1990,SPC Press Inc
0440442508,Johnny Tremain (Yearling Newbery),Esther Forbes,1980,Yearling Books
0440120500,The Dirty Duck,Martha Grimes,1990,Dell Publishing Company
067943853X,Of Love And Other Demons,GABRIEL GARCIA MARQUEZ,1990,Knopf
0671027573,Mr. Perfect,Linda Howard,2000,Pocket Star
0553569910,The Ugly Duckling,Iris Johansen,1990,Bantam Books
0060512822,The Poisonwood Bible,Barbara Kingsolver,2000,HarperTorch
8501067113,Perdas &amp; Ganhos,Lya Fett Luft,2000,Editora Record
0140620842,Gulliver's Travels (Penguin Popular Classics),Jonathan Swift,1990,Penguin Books Ltd
0805059555,"\"" Is for Outlaw""",Sue Grafton,1990,Henry Holt &amp Company
0380788500,Legends Walking: A Novel of the Athanor,Jane Lindskold,1990,Eos (HarperCollins)
0446608815,Pop Goes the Weasel,James Patterson,2000,Warner Vision
0515128546,Tears of the Moon (Irish Trilogy),Nora Roberts,2000,Jove Books
0671047515,Hell's Kitchen,Jeffery Deaver,2000,Pocket
0451160525,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1990,New American Library
0553283111,Quiet As a Nun (Jemima Shore Mysteries),Antonia Fraser,1990,Bantam Books
0553560441,The Road to Omaha,Robert Ludlum,1990,Bantam Books
0679445358,If... (Questions for the Game of Life),Evelyn McFarlane,1990,Villard Books
0553800949,Final Target,Iris Johansen,2000,Bantam Books
0061057894,Acorna: The Unicorn Girl (Acorna (Paperback)),Anne McCaffrey,1990,Eos
8573022744,HistÃ³rias brasileiras de verÃ£o (Vide Verissimo),LuÃ­s Fernando VerÃ­ssimo,1990,Objetiva
0446359688,Red Phoenix,Larry Bond,1990,Warner Books
0425163407,Unnatural Exposure,Patricia Daniels Cornwell,1990,Berkley Publishing Group
0515131679,The Gingerbread Man,Maggie Shayne,2000,Jove Books
0671867091,Remember Me,Mary Higgins Clark,1990,Pocket
0345446666,Death in Holy Orders : An Adam Dalgliesh Mystery,P.D. JAMES,2000,Fawcett
0553284363,Payment in Blood,Elizabeth George,1990,Bantam Books
0553210793,The Adventures of Huckleberry Finn (Bantam Classics),MARK TWAIN,1980,Bantam
0515133973,Midnight Bayou,Nora Roberts,2000,Jove Books
0671702513,The Prize,Julie Garwood,1990,Pocket
0385501560,Choke,Chuck Palahniuk,2000,Doubleday Books
0486270629,A Doll's House,Henrik Ibsen,1990,Dover Publications
0140282777,Big Fish: A Novel of Mythic Proportions,Daniel Wallace,1990,Penguin Books
0553229281,Majipoor Chronicles 3,Robert Silverberg,1980,Bantam Doubleday Dell
0140622306,A Portrait of the Artist as a Young Man (Penguin Popular Classics),James Joyce,1990,Penguin Books Ltd
055327449X,The Illustrated Man (Grand Master Editions),RAY BRADBURY,1980,Spectra
1400030382,The Piano Tuner : A Novel,DANIEL MASON,2000,Vintage
0553272543,Ballad of the Sad Cafe and Other Stories,Carson McCullers,1990,Bantam Books
0140043128,One Flew over the Cuckoo's Nest,Ken Kesey,1970,Penguin Books
0060256656,The Giving Tree,Shel Silverstein,1960,HarperCollins Publishers
0440174643,Roots,ALEX HALEY,1980,Dell
0553275100,The Butcher's Theater,Jonathan Kellerman,1980,Bantam Books
0449208885,The Road to Paradise Island,Victoria Holt,1990,Ivy Books
0375753788,I Will Bear Witness: A Diary of the Nazi Years 1933-1941 (Modern Library (Paperback)),Victor Klemperer,1990,Modern Library
0553572202,Self-Defense (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1990,Bantam Books
2742743537,La TreiziÃ?Â¨me cible,Arnauld Pontier,2000,Actes Sud
0425151867,Acceptable Risk,Robin Cook,1990,Berkley Publishing Group
0446311774,Innocent Blood,P. D. James,1990,Warner Books (Mm)
0393319296,Invisible Monsters,Chuck Palahniuk,1990,WW Norton &amp Company
0553278029,A Great Deliverance,Elizabeth George,1980,Bantam Books
0449217124,Thornyhold,Mary Stewart,1980,Fawcett Books
1401200893,"Endless Nights (The Sandman, Book 11)",Neil Gaiman,2000,DC Comics
0060934700,Smoke and Mirrors: Short Fictions and Illusions,Neil Gaiman,2000,Perennial
0316779423,Barrel Fever : Stories and Essays (Barrel Fever),David Sedaris,1990,Back Bay Books
0312140940,Wonder Boys : A Novel (Bestselling Backlist),Michael Chabon,1990,Picador
226612269X,Ou Es-Tu?,Marc Levy,2000,Distribooks Inc
067179793X,Princess Annie,Linda Lael Miller,1990,Pocket
0385722192,Lullaby: A Novel,Chuck Palahniuk,2000,Anchor Books/Doubleday
0312921098,Treason,Orson Scott Card,1990,St Martins Pr (Mm)
0553227041,Sisterhood,Michael Palmer,0,Bantam Doubleday Dell
0765340054,"Shadow Puppets (Ender, Book 7)",Orson Scott Card,2000,Tor Books
0812509145,The Copenhagen Connection,Elizabeth Peters,1990,Tor Books
0440223016,A Long Fatal Love Chase,Louisa May Alcott,1990,Dell
0345319672,The Ballad of Typhoid Mary,J.F. Federspiel,1980,Ballantine Books
0553800973,Body of Lies,IRIS JOHANSEN,2000,Bantam
0440222826,The Mercy Rule,John T. Lescroart,1990,Island
0140282033,Chocolat,Joanne Harris,2000,Penguin Books
0804116571,Malice in the Highlands (Erskine Powell Mysteries),Graham Thomas,1990,Fawcett Books
0375500510,Black and Blue : A Novel,ANNA QUINDLEN,1990,Random House
0061093343,Fault Lines,Anne Rivers Siddons,1990,HarperTorch
0894803204,The Book of Questions,Gregory Stock,1980,Workman Publishing
0684867672,The Five Minute Iliad Other Instant Classics : Great Books For The Short Attention Span,Greg Nagan,2000,Fireside
0761121323,"What to Expect When You're Expecting, Third Edition",Heidi E. Murkoff,2000,Workman Publishing
0345394267,Rainbow's End,Martha Grimes,1990,Ballantine Books
0061099015,The Great and Secret Show,Clive Barker,1990,HarperCollins Publishers
055356773X,The Cereal Murders,Diane Mott Davidson,1990,Crimeline
0802135161,Oranges Are Not the Only Fruit,Jeanette Winterson,1990,Grove Press
0451206002,Over the Edge: An Alex Delaware Novel (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2000,Signet Book
0440202515,Another View,Rosamunde Pilcher,1980,Dell Publishing Company
0451403754,Sweet Everlasting (Topaz Historical Romances),Patricia Gaffney,1990,Topaz
0451205235,Cold Flat Junction,Martha Grimes,2000,New American Library
0399145672,Big Trouble,Dave Barry,1990,Putnam Publishing Group
0312984618,Black for Remembrance,Carlene Thompson,2000,St Martin's Paperbacks
0345374568,The Old Contemptibles,Martha Grimes,1990,Ballantine Books
0449219461,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Fawcett Books
0812510992,The Girl Who Heard Dragons,Anne McCaffrey,1990,Tor Books
0312978383,Winter Solstice,Rosamunde Pilcher,2000,St Martin's Paperbacks
0671786466,Paradise County,Karen Robards,2000,Pocket
0312186142,Death in Cyprus,Mary Margaret Kaye,1980,St Martins Pr
0440211697,Phantom,Susan Kay,1990,Dell Publishing Company
0449219232,Jasmine,Bharati Mukherjee,1990,Fawcett Books
0451457994,2001: A Space Odyssey,Arthur C. Clarke,2000,Roc
2070378233,La guerre de la fin du monde,Mario Vargas Llosa,1980,Gallimard
0425126064,Shadow Prey,John Sandford,2000,Berkley Publishing Group
351818802X,"Suhrkamp BasisBibliothek (SBB), Nr.2, Siddhartha",Hermann Hesse,1990,Suhrkamp
0738203491,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard P. Feynman,2000,Perseus Books Group
0425109720,Patriot Games (Jack Ryan Novels),Tom Clancy,1990,Berkley Publishing Group
0061092177,Small Gods (Discworld Novels (Paperback)),Terry Pratchett,1990,HarperTorch
0374386137,A Wrinkle in Time,Madeleine L'Engle,1960,Farrar Straus Giroux
1563898810,"9-11: September 11th, 2001 (Stories to Remember, Volume 1)",Will Eisner,2000,DC Comics
1563898780,"9-11: September 11, 2001 (Stories to Remember, Volume 2)",Neil Gaiman,2000,DC Comics
0553576089,In the Presence of the Enemy,ELIZABETH GEORGE,1990,Bantam
0515124060,The Investigators (Badge of Honor Novels (Paperback)),W. E. B. Griffin,1990,Jove Books
044022571X,Legal Briefs: Stories by Today's Best Legal Thriller Writers,William Bernhardt,1990,Dell Publishing Company
0312927746,Flowers in the Rain &amp; Other Stories,Rosamunde Pilcher,1990,St Martin's Press
0515120871,Finding the Dream,Nora Roberts,1990,Jove Books
0679722068,"Death in Venice, and Seven Other Stories (Vintage International)",Thomas Mann,1980,Vintage Books USA
0553293915,Kat's Cradle (Kat Colorado Mysteries),Karen Kijewski,1990,Bantam
067151914X,"Caretaker (Star Trek Voyager, No 1)",L.A. Graf,1990,Star Trek
0380788756,Baltimore Blues (Tess Monaghan Mysteries (Paperback)),Laura Lippman,1990,Avon
0345397819,Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),Anne Rice,1990,Ballantine Books
0671755056,SHAMPOO PLANET,Douglas Coupland,1990,Atria
0553572512,Playing for the Ashes,ELIZABETH GEORGE,1990,Bantam
0449149005,A Deceptive Clarity,Aaron J. Elkins,1990,Fawcett Books
0064400042,On the Banks of Plum Creek,Laura Ingalls Wilder,1950,HarperTrophy
0440215285,Killing Orders,Sara Paretsky,1990,Dell
0440135842,Help the Poor Struggler,Martha Grimes,1990,Dell
0805013342,"\A\"" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)""",Sue Grafton,1980,Henry Holt and Co
0446364703,Decked : A Regan Reilly Mystery,Carol Higgins Clark,1990,Warner Books
0671737783,Mediterranean Caper,Clive Cussler,1990,Pocket
0425188221,Shadowland,Peter Straub,2000,Berkley Publishing Group
8251800811,A Time for Trolls: Fairy Tales from Norway,Peter C. Asbjornsen,1990,Arthur Vanous Co
0446676098,The Notebook,Nicholas Sparks,1990,Warner Books
8571641145,A Grande Arte,Rubem Fonseca,1990,Companhia das Letras
0441006612,Isaac Asimov's Werewolves,Shelia Williams,1990,Ace Books
0449908488,The Silent Cry (William Monk Novels (Hardcover)),Anne Perry,1990,Fawcett Books
0671472569,Meridian,Alice Walker,1990,Simon &amp Schuster
0140620206,Tess of the Durbervilles,Hardy,0,Penguin Putnam~mass
0060505257,The Archer's Tale,Bernard Cornwell,2000,HarperTorch
0743480716,Underworld : Book 1,Greg Cox,2000,Pocket Star
0679758461,Red-Tails in Love : A Wildlife Drama in Central Park,MARIE WINN,1990,Vintage
